rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,twist,linear,x,y,z,angular,x,y,z
1679586245010223314,,9753,,1679586245,7345468,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245057657276,,9754,,1679586245,56676415,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245110140757,,9755,,1679586245,106683168,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245159627640,,9756,,1679586245,156670369,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245208898427,,9757,,1679586245,206691394,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245257839904,,9758,,1679586245,256660547,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245309388796,,9759,,1679586245,306793636,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245361331351,,9760,,1679586245,358315776,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245412480916,,9761,,1679586245,407871811,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245462113879,,9762,,1679586245,457644485,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245508733922,,9763,,1679586245,506887656,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245558130853,,9764,,1679586245,556888489,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245608702917,,9765,,1679586245,607368041,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245659167012,,9766,,1679586245,657008395,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245711778173,,9767,,1679586245,707593898,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245757655627,,9768,,1679586245,756796814,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245808351946,,9769,,1679586245,806918927,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245860808996,,9770,,1679586245,856965008,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245911860641,,9771,,1679586245,910241863,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586245958295950,,9772,,1679586245,957103922,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246012033251,,9773,,1679586246,7622737,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246058549231,,9774,,1679586246,57085396,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246108462545,,9775,,1679586246,107297108,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246158159155,,9776,,1679586246,157080694,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246209793487,,9777,,1679586246,207892885,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246258547956,,9778,,1679586246,257185368,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246309411858,,9779,,1679586246,307372377,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246358549366,,9780,,1679586246,356911131,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246407960185,,9781,,1679586246,406894172,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
1679586246458008058,,9782,,1679586246,456866334,'',,,0.0,0.0,0.0,,0.0,0.0,0.0
