rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1679586245008865175,,14622,,1679586245,5578625,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245040721202,,14623,,1679586245,38883863,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245074088808,,14624,,1679586245,72139470,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245106749344,,14625,,1679586245,105515620,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245140419541,,14626,,1679586245,138861530,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245174534824,,14627,,1679586245,172366767,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245206974913,,14628,,1679586245,205509862,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245240927317,,14629,,1679586245,238909148,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245273917549,,14630,,1679586245,272131378,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245306888612,,14631,,1679586245,305464680,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245340787640,,14632,,1679586245,338797182,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245373721487,,14633,,1679586245,372155316,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245409810781,,14634,,1679586245,405745322,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245440726938,,14635,,1679586245,438884672,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245474768206,,14636,,1679586245,472197846,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245507504550,,14637,,1679586245,505483981,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245540264830,,14638,,1679586245,538921506,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245575358415,,14639,,1679586245,572404056,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245607602632,,14640,,1679586245,605488943,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245641492189,,14641,,1679586245,638822885,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245673857590,,14642,,1679586245,672167355,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245707441163,,14643,,1679586245,705571793,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245739722820,,14644,,1679586245,738750055,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245774390550,,14645,,1679586245,772375421,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245807772908,,14646,,1679586245,805457683,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245840552036,,14647,,1679586245,838969257,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245873908026,,14648,,1679586245,872138528,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245910229991,,14649,,1679586245,905745237,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245940832389,,14650,,1679586245,939346186,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586245974034876,,14651,,1679586245,972144130,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246009162988,,14652,,1679586246,5472984,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246041460326,,14653,,1679586246,38934158,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246073887423,,14654,,1679586246,72139908,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246107138613,,14655,,1679586246,105541850,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246140672650,,14656,,1679586246,138806416,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246174452511,,14657,,1679586246,172510981,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679586246207549526,,14658,,1679586246,205655836,"""joystick""","[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
